variavel,desfecho,k,trimestre,coef_pp,ep_pp,ic95_inf_pp,ic95_sup_pp
mobilidade_descendente_aioe,Transição para menor AIOE,9,2025T1,0.5040049496005324,0.34602742055047236,-0.1742227831992774,1.1822326824003422
mobilidade_descendente_aioe,Transição para menor AIOE,10,2025T2,0.8645345155033293,0.34138121259740206,0.19541353811935985,1.5336554928872985
mobilidade_descendente_aioe,Transição para menor AIOE,11,2025T3,0.3123045813028675,0.3489751067812175,-0.37170073567250594,0.9963098982782409
muda_ocupacao_2,Muda de ocupação (2 dígitos),-15,2019T1,-0.6786986215548299,0.3889845194558558,-1.4411240047949052,0.08372676168524545
muda_ocupacao_2,Muda de ocupação (2 dígitos),-14,2019T2,-0.10886422720451563,0.3980877808495941,-0.889132370785194,0.6714039163761628
muda_ocupacao_2,Muda de ocupação (2 dígitos),-13,2019T3,-0.33822508258058126,0.3851837176773455,-1.0932007406833837,0.4167505755222211
muda_ocupacao_2,Muda de ocupação (2 dígitos),-12,2019T4,-0.10357645243728808,0.40809869679718097,-0.9034663959769987,0.6963134911024225
muda_ocupacao_2,Muda de ocupação (2 dígitos),-11,2020T1,-0.13397365883392437,0.41839511287040065,-0.9540449941205491,0.6860976764527005
muda_ocupacao_2,Muda de ocupação (2 dígitos),-10,2020T2,-0.09871412537303154,0.42850145485346164,-0.9385942995059152,0.7411660487598523
muda_ocupacao_2,Muda de ocupação (2 dígitos),-9,2020T3,-0.1787189432001756,0.42641527357907594,-1.0145101176992004,0.6570722312988494
muda_ocupacao_2,Muda de ocupação (2 dígitos),-8,2020T4,-0.3357946269623671,0.4284375018051493,-1.1755494505351898,0.5039601966104555
muda_ocupacao_2,Muda de ocupação (2 dígitos),-7,2021T1,-0.001326142221257321,0.4378607814500836,-0.8595509748441003,0.8568986904015857
muda_ocupacao_2,Muda de ocupação (2 dígitos),-6,2021T2,0.02603396297942263,0.43473959185868427,-0.8260732118669194,0.8781411378257645
muda_ocupacao_2,Muda de ocupação (2 dígitos),-5,2021T3,0.5414405124901372,0.3846711168823077,-0.21253042733196714,1.2954114523122415
muda_ocupacao_2,Muda de ocupação (2 dígitos),-4,2021T4,1.0674347903597876,0.4240182459615621,0.23634188689344182,1.8985276938261333
muda_ocupacao_2,Muda de ocupação (2 dígitos),-3,2022T1,0.4525990492197872,0.40356642321180214,-0.3384074548706743,1.2436055533102488
muda_ocupacao_2,Muda de ocupação (2 dígitos),-2,2022T2,0.4401008417586135,0.3892952618973865,-0.3229336092289506,1.2031352927461776
muda_ocupacao_2,Muda de ocupação (2 dígitos),-1,2022T3,0.0,0.0,0.0,0.0
muda_ocupacao_2,Muda de ocupação (2 dígitos),0,2022T4,0.3221829807102812,0.381427357312908,-0.4254300592234219,1.0697960206439843
muda_ocupacao_2,Muda de ocupação (2 dígitos),1,2023T1,0.3722209910485866,0.39759775168476996,-0.40708667555909434,1.1515286576562673
muda_ocupacao_2,Muda de ocupação (2 dígitos),2,2023T2,0.014333390489274584,0.4028925962329979,-0.7753523854825694,0.8040191664611186
